# pucks logger
# generation, total redpucks, total greenpucks.
0 80.000000 92.000000 0.608714 100
1 103.000000 145.000000 0.774459 99
2 119.000000 140.000000 0.791837 98
3 108.000000 158.000000 0.724789 97
4 146.000000 181.000000 0.832913 97
5 239.000000 226.000000 0.853436 97
6 170.000000 184.000000 0.823225 97
7 206.000000 199.000000 0.880641 97
8 244.000000 257.000000 0.870889 97
9 190.000000 206.000000 0.845417 97
10 231.000000 243.000000 0.873147 97
11 256.000000 221.000000 0.819436 97
12 274.000000 287.000000 0.926869 97
13 310.000000 277.000000 0.923940 97
14 313.000000 305.000000 0.926068 97
15 314.000000 312.000000 0.948977 97
16 232.000000 289.000000 0.906500 97
17 262.000000 329.000000 0.892305 97
18 310.000000 275.000000 0.916123 97
19 270.000000 296.000000 0.970110 97
20 273.000000 316.000000 0.924637 97
21 285.000000 333.000000 0.905019 97
22 203.000000 357.000000 0.916054 97
23 260.000000 393.000000 0.943753 97
24 259.000000 313.000000 0.923589 97
25 330.000000 342.000000 0.944099 97
26 355.000000 337.000000 0.924438 97
27 344.000000 393.000000 0.928457 97
28 360.000000 416.000000 0.915604 97
29 390.000000 361.000000 0.948893 97
30 364.000000 407.000000 0.943297 97
31 364.000000 356.000000 0.941781 97
32 299.000000 422.000000 0.935724 97
33 293.000000 429.000000 0.938823 97
34 268.000000 393.000000 0.956115 97
35 306.000000 478.000000 0.957552 97
36 385.000000 421.000000 0.946771 97
37 423.000000 401.000000 0.914801 97
38 441.000000 409.000000 0.943480 97
39 456.000000 404.000000 0.952805 97
40 427.000000 409.000000 0.918984 97
41 433.000000 439.000000 0.936805 97
42 373.000000 431.000000 0.965363 97
43 450.000000 375.000000 0.932223 97
44 447.000000 432.000000 0.958223 97
45 471.000000 383.000000 0.941397 97
46 469.000000 377.000000 0.942533 97
47 478.000000 364.000000 0.925072 97
48 432.000000 341.000000 0.914724 97
49 385.000000 439.000000 0.929689 97
50 437.000000 395.000000 0.933974 97
51 387.000000 417.000000 0.671614 97
52 461.000000 401.000000 0.656753 97
53 435.000000 450.000000 0.638603 97
54 439.000000 444.000000 0.639739 97
55 446.000000 475.000000 0.654426 97
56 469.000000 469.000000 0.628278 97
57 442.000000 443.000000 0.628989 97
58 446.000000 418.000000 0.631225 97
59 457.000000 426.000000 0.651933 97
60 479.000000 455.000000 0.632117 97
61 459.000000 409.000000 0.619336 97
62 452.000000 468.000000 0.641986 97
63 466.000000 470.000000 0.639471 97
64 437.000000 457.000000 0.650546 97
65 489.000000 483.000000 0.645804 97
66 490.000000 436.000000 0.643488 97
67 460.000000 474.000000 0.646850 97
68 423.000000 402.000000 0.635642 97
69 487.000000 512.000000 0.622047 97
70 483.000000 488.000000 0.615213 97
71 457.000000 444.000000 0.649962 97
72 400.000000 457.000000 0.658569 97
73 449.000000 493.000000 0.634654 97
74 484.000000 503.000000 0.634173 97
75 520.000000 533.000000 0.633414 97
76 508.000000 472.000000 0.627832 97
77 468.000000 494.000000 0.643909 97
78 513.000000 496.000000 0.622864 97
79 470.000000 573.000000 0.620516 97
80 530.000000 522.000000 0.634912 97
81 541.000000 512.000000 0.619206 97
82 521.000000 514.000000 0.628676 97
83 533.000000 506.000000 0.621322 97
84 527.000000 527.000000 0.627106 97
85 476.000000 498.000000 0.633708 97
86 490.000000 535.000000 0.620235 97
87 477.000000 540.000000 0.627277 97
88 513.000000 525.000000 0.608035 97
89 530.000000 509.000000 0.644797 97
90 517.000000 501.000000 0.608129 97
91 503.000000 474.000000 0.625809 97
92 520.000000 475.000000 0.632295 97
93 537.000000 547.000000 0.642943 97
94 553.000000 522.000000 0.623409 97
95 538.000000 553.000000 0.622795 97
96 517.000000 566.000000 0.646288 97
97 587.000000 530.000000 0.634447 97
98 524.000000 515.000000 0.623402 97
99 559.000000 523.000000 0.633985 97
100 553.000000 488.000000 0.636152 97
