# pucks logger
# generation, total redpucks, total greenpucks.
0 61.000000 64.000000 0.551667 100
1 64.000000 98.000000 0.627273 99
2 84.000000 150.000000 0.754811 97
3 129.000000 149.000000 0.800453 97
4 176.000000 136.000000 0.766208 97
5 188.000000 173.000000 0.764973 97
6 239.000000 175.000000 0.776651 97
7 273.000000 163.000000 0.866998 97
8 278.000000 179.000000 0.826369 97
9 352.000000 230.000000 0.893287 96
10 345.000000 205.000000 0.823642 96
11 340.000000 219.000000 0.895146 95
12 398.000000 189.000000 0.888266 95
13 365.000000 237.000000 0.904883 95
14 417.000000 214.000000 0.930982 95
15 392.000000 233.000000 0.889757 95
16 448.000000 213.000000 0.901216 95
17 479.000000 209.000000 0.917827 95
18 455.000000 326.000000 0.971276 95
19 492.000000 307.000000 0.948551 95
20 521.000000 320.000000 0.956782 95
21 471.000000 383.000000 0.928549 95
22 456.000000 378.000000 0.953977 95
23 444.000000 386.000000 0.944204 95
24 406.000000 395.000000 0.955619 95
25 388.000000 390.000000 0.934698 95
26 430.000000 387.000000 0.960152 95
27 488.000000 363.000000 0.923453 95
28 502.000000 412.000000 0.967708 95
29 447.000000 421.000000 0.934444 95
30 465.000000 427.000000 0.936928 95
31 427.000000 466.000000 0.952915 94
32 432.000000 457.000000 0.934967 94
33 457.000000 463.000000 0.935338 94
34 507.000000 413.000000 0.957214 94
35 516.000000 382.000000 0.924616 94
36 513.000000 429.000000 0.950982 94
37 520.000000 416.000000 0.945116 94
38 489.000000 373.000000 0.941738 94
39 466.000000 399.000000 0.931828 94
40 439.000000 429.000000 0.962333 94
41 480.000000 372.000000 0.931291 94
42 468.000000 394.000000 0.939233 94
43 464.000000 378.000000 0.957468 94
44 450.000000 367.000000 0.939788 94
45 463.000000 447.000000 0.942664 94
46 432.000000 449.000000 0.945215 94
47 408.000000 443.000000 0.952477 94
48 422.000000 428.000000 0.949497 94
49 415.000000 404.000000 0.954342 94
50 464.000000 440.000000 0.957935 94
51 439.000000 419.000000 0.662991 94
52 449.000000 434.000000 0.647712 94
53 465.000000 465.000000 0.642585 94
54 459.000000 453.000000 0.645376 94
55 459.000000 455.000000 0.642826 94
56 472.000000 493.000000 0.634739 94
57 474.000000 473.000000 0.631084 94
58 523.000000 487.000000 0.633168 94
59 505.000000 481.000000 0.626356 94
60 555.000000 495.000000 0.620016 94
61 531.000000 536.000000 0.649075 94
62 521.000000 529.000000 0.633544 94
63 530.000000 526.000000 0.623200 94
64 525.000000 575.000000 0.622742 94
65 553.000000 528.000000 0.635979 94
66 499.000000 546.000000 0.637511 94
67 545.000000 562.000000 0.626103 94
68 547.000000 496.000000 0.629513 94
69 518.000000 546.000000 0.629528 94
70 583.000000 553.000000 0.603295 94
71 531.000000 578.000000 0.615295 94
72 523.000000 555.000000 0.609989 94
73 541.000000 524.000000 0.630160 94
74 545.000000 493.000000 0.655746 94
75 523.000000 544.000000 0.622320 94
76 540.000000 496.000000 0.613555 94
77 564.000000 553.000000 0.623510 94
78 567.000000 521.000000 0.633488 94
79 577.000000 519.000000 0.630823 94
80 566.000000 536.000000 0.623285 94
81 568.000000 597.000000 0.609617 94
82 586.000000 558.000000 0.630341 94
83 552.000000 556.000000 0.621466 94
84 552.000000 595.000000 0.624734 94
85 551.000000 529.000000 0.640416 94
86 530.000000 570.000000 0.617285 94
87 571.000000 567.000000 0.620025 94
88 548.000000 607.000000 0.605000 94
89 571.000000 520.000000 0.630967 94
90 555.000000 552.000000 0.621671 94
91 538.000000 624.000000 0.621648 94
92 617.000000 552.000000 0.619940 94
93 588.000000 547.000000 0.618359 94
94 556.000000 537.000000 0.618371 94
95 555.000000 588.000000 0.609534 94
96 487.000000 564.000000 0.628242 94
97 541.000000 502.000000 0.616712 94
98 507.000000 495.000000 0.616600 94
99 539.000000 527.000000 0.626136 94
100 563.000000 565.000000 0.635099 94
