# pucks logger
# generation, total redpucks, total greenpucks.
0 64.000000 64.000000 0.537333 100
1 95.000000 75.000000 0.626523 93
2 123.000000 138.000000 0.803943 93
3 100.000000 138.000000 0.763697 93
4 82.000000 128.000000 0.641026 91
5 74.000000 150.000000 0.739444 90
6 136.000000 111.000000 0.759048 90
7 167.000000 148.000000 0.798355 90
8 235.000000 149.000000 0.860864 90
9 279.000000 162.000000 0.829721 90
10 323.000000 190.000000 0.922751 90
11 287.000000 189.000000 0.919168 90
12 301.000000 141.000000 0.901283 90
13 246.000000 135.000000 0.869149 90
14 280.000000 173.000000 0.920842 90
15 229.000000 183.000000 0.846306 89
16 225.000000 189.000000 0.858409 89
17 226.000000 226.000000 0.871403 89
18 207.000000 189.000000 0.896395 88
19 214.000000 218.000000 0.836632 88
20 176.000000 209.000000 0.921839 87
21 177.000000 260.000000 0.855259 87
22 160.000000 238.000000 0.808085 86
23 221.000000 182.000000 0.871544 86
24 215.000000 175.000000 0.829692 85
25 213.000000 159.000000 0.870181 83
26 162.000000 185.000000 0.892208 83
27 248.000000 143.000000 0.871623 82
28 299.000000 179.000000 0.909625 82
29 270.000000 194.000000 0.890075 82
30 277.000000 225.000000 0.897706 82
31 260.000000 246.000000 0.929935 82
32 226.000000 224.000000 0.923635 82
33 189.000000 230.000000 0.889325 81
34 185.000000 262.000000 0.909723 81
35 263.000000 246.000000 0.898339 81
36 299.000000 277.000000 0.919039 81
37 358.000000 279.000000 0.916840 81
38 333.000000 256.000000 0.936856 81
39 329.000000 316.000000 0.961476 81
40 347.000000 313.000000 0.968526 81
41 408.000000 312.000000 0.950803 81
42 363.000000 325.000000 0.931589 81
43 350.000000 323.000000 0.961815 81
44 356.000000 364.000000 0.943783 81
45 406.000000 341.000000 0.935664 81
46 305.000000 413.000000 0.918462 81
47 314.000000 336.000000 0.934013 81
48 320.000000 358.000000 0.949008 81
49 330.000000 317.000000 0.910036 81
50 358.000000 360.000000 0.941591 81
51 372.000000 337.000000 0.671457 81
52 403.000000 374.000000 0.636972 81
53 376.000000 384.000000 0.637557 81
54 332.000000 317.000000 0.631627 81
55 358.000000 389.000000 0.636363 81
56 381.000000 373.000000 0.646877 81
57 409.000000 369.000000 0.650516 81
58 399.000000 374.000000 0.599488 81
59 391.000000 335.000000 0.650617 81
60 370.000000 379.000000 0.644111 81
61 396.000000 405.000000 0.630950 81
62 409.000000 423.000000 0.617705 81
63 422.000000 420.000000 0.639337 81
64 400.000000 404.000000 0.633564 81
65 422.000000 421.000000 0.614996 81
66 427.000000 399.000000 0.611535 81
67 403.000000 472.000000 0.636340 81
68 372.000000 444.000000 0.637388 81
69 399.000000 417.000000 0.604204 81
70 396.000000 409.000000 0.642704 81
71 425.000000 420.000000 0.629721 81
72 445.000000 444.000000 0.634488 81
73 430.000000 390.000000 0.649564 81
74 411.000000 385.000000 0.642679 81
75 436.000000 436.000000 0.617525 81
76 438.000000 441.000000 0.624960 80
77 448.000000 436.000000 0.613094 80
78 413.000000 426.000000 0.643028 80
79 394.000000 409.000000 0.634363 80
80 425.000000 370.000000 0.654051 80
81 420.000000 376.000000 0.605783 80
82 426.000000 422.000000 0.644044 80
83 412.000000 407.000000 0.642323 80
84 445.000000 393.000000 0.625746 80
85 421.000000 367.000000 0.647888 79
86 373.000000 411.000000 0.657878 79
87 369.000000 438.000000 0.644700 79
88 378.000000 370.000000 0.666922 79
89 378.000000 398.000000 0.641670 79
90 408.000000 420.000000 0.632697 79
91 412.000000 393.000000 0.609218 79
92 381.000000 401.000000 0.635425 79
93 425.000000 382.000000 0.623964 79
94 334.000000 328.000000 0.637660 79
95 403.000000 423.000000 0.625445 79
96 378.000000 327.000000 0.631270 79
97 439.000000 439.000000 0.588629 79
98 445.000000 419.000000 0.644014 79
99 404.000000 429.000000 0.649481 79
100 445.000000 445.000000 0.619544 79
