# pucks logger
# generation, total redpucks, total greenpucks.
0 42.000000 64.000000 0.556667 100
1 73.000000 93.000000 0.663082 93
2 120.000000 118.000000 0.712204 91
3 143.000000 114.000000 0.738258 88
4 155.000000 177.000000 0.884392 87
5 162.000000 149.000000 0.769890 87
6 181.000000 140.000000 0.805759 87
7 192.000000 144.000000 0.755980 86
8 151.000000 215.000000 0.824295 86
9 177.000000 211.000000 0.875374 86
10 211.000000 211.000000 0.840103 86
11 212.000000 224.000000 0.857281 86
12 236.000000 190.000000 0.834628 86
13 263.000000 234.000000 0.887116 86
14 340.000000 205.000000 0.915774 86
15 266.000000 220.000000 0.930077 86
16 241.000000 290.000000 0.882795 86
17 283.000000 258.000000 0.966731 86
18 211.000000 302.000000 0.945042 86
19 196.000000 201.000000 0.829362 86
20 208.000000 273.000000 0.921111 86
21 204.000000 277.000000 0.892981 86
22 240.000000 306.000000 0.904259 86
23 242.000000 349.000000 0.938647 86
24 260.000000 299.000000 0.918014 86
25 276.000000 293.000000 0.951501 86
26 303.000000 323.000000 0.944100 86
27 391.000000 310.000000 0.939358 86
28 276.000000 394.000000 0.964593 86
29 323.000000 413.000000 0.948872 86
30 284.000000 364.000000 0.936050 86
31 242.000000 387.000000 0.923467 86
32 305.000000 371.000000 0.913373 86
33 360.000000 323.000000 0.908666 86
34 373.000000 334.000000 0.905506 86
35 349.000000 356.000000 0.926299 86
36 352.000000 349.000000 0.937213 86
37 332.000000 301.000000 0.913367 86
38 284.000000 368.000000 0.906249 86
39 318.000000 319.000000 0.866772 86
40 302.000000 299.000000 0.861238 86
41 258.000000 402.000000 0.916122 86
42 269.000000 431.000000 0.898567 86
43 271.000000 410.000000 0.931874 86
44 264.000000 339.000000 0.861707 86
45 269.000000 297.000000 0.908469 86
46 268.000000 305.000000 0.815962 86
47 258.000000 391.000000 0.914300 86
48 229.000000 388.000000 0.892216 86
49 251.000000 372.000000 0.843075 86
50 241.000000 277.000000 0.834659 86
51 309.000000 273.000000 0.685198 86
52 340.000000 336.000000 0.592899 86
53 368.000000 326.000000 0.574549 86
54 353.000000 383.000000 0.600002 86
55 376.000000 369.000000 0.587349 86
56 323.000000 330.000000 0.578200 85
57 308.000000 312.000000 0.586954 85
58 335.000000 326.000000 0.571476 85
59 335.000000 347.000000 0.617934 85
60 327.000000 348.000000 0.608578 85
61 407.000000 368.000000 0.615040 85
62 382.000000 345.000000 0.605961 85
63 367.000000 323.000000 0.588808 85
64 346.000000 333.000000 0.585300 85
65 319.000000 360.000000 0.594471 85
66 401.000000 414.000000 0.595502 85
67 347.000000 354.000000 0.603118 85
68 409.000000 414.000000 0.600064 85
69 434.000000 412.000000 0.609103 85
70 380.000000 414.000000 0.599128 85
71 422.000000 457.000000 0.645611 85
72 425.000000 415.000000 0.597160 85
73 396.000000 398.000000 0.618604 85
74 368.000000 397.000000 0.646136 85
75 454.000000 497.000000 0.613583 85
76 444.000000 431.000000 0.625888 85
77 476.000000 380.000000 0.606573 85
78 463.000000 451.000000 0.632074 85
79 454.000000 456.000000 0.597060 85
80 481.000000 453.000000 0.623003 85
81 478.000000 450.000000 0.611501 85
82 438.000000 437.000000 0.631023 85
83 411.000000 423.000000 0.593975 85
84 423.000000 415.000000 0.593573 84
85 480.000000 439.000000 0.596896 84
86 446.000000 461.000000 0.648515 84
87 481.000000 470.000000 0.594883 84
88 482.000000 468.000000 0.622272 84
89 480.000000 482.000000 0.599633 84
90 513.000000 464.000000 0.624685 84
91 509.000000 566.000000 0.620126 84
92 526.000000 524.000000 0.613381 84
93 474.000000 458.000000 0.592337 84
94 540.000000 487.000000 0.615673 84
95 500.000000 445.000000 0.618397 84
96 495.000000 489.000000 0.608856 84
97 459.000000 461.000000 0.601873 84
98 455.000000 462.000000 0.605845 84
99 470.000000 439.000000 0.625632 84
100 466.000000 476.000000 0.625438 84
