# pucks logger
# generation, total redpucks, total greenpucks.
0 60.000000 50.000000 0.517667 100
1 124.000000 80.000000 0.697892 96
2 227.000000 94.000000 0.763459 96
3 274.000000 131.000000 0.861343 94
4 293.000000 219.000000 0.891086 93
5 239.000000 287.000000 0.924223 93
6 254.000000 284.000000 0.899355 93
7 275.000000 299.000000 0.931702 93
8 234.000000 323.000000 0.930547 93
9 248.000000 376.000000 0.953022 93
10 276.000000 336.000000 0.947999 93
11 318.000000 354.000000 0.944588 93
12 344.000000 305.000000 0.927161 93
13 376.000000 348.000000 0.972877 93
14 365.000000 323.000000 0.919350 93
15 312.000000 318.000000 0.932973 93
16 322.000000 285.000000 0.883087 93
17 327.000000 338.000000 0.943463 93
18 336.000000 300.000000 0.948191 93
19 288.000000 357.000000 0.940274 93
20 318.000000 363.000000 0.947077 93
21 353.000000 327.000000 0.946872 93
22 350.000000 351.000000 0.929393 93
23 380.000000 352.000000 0.928514 93
24 360.000000 354.000000 0.921419 93
25 340.000000 374.000000 0.943580 93
26 340.000000 368.000000 0.947272 93
27 339.000000 342.000000 0.922045 92
28 356.000000 337.000000 0.938572 92
29 332.000000 361.000000 0.954273 92
30 356.000000 350.000000 0.921413 92
31 422.000000 336.000000 0.961066 92
32 441.000000 310.000000 0.924254 92
33 452.000000 377.000000 0.947940 92
34 411.000000 382.000000 0.947588 92
35 393.000000 408.000000 0.943053 92
36 262.000000 443.000000 0.924757 92
37 297.000000 496.000000 0.938026 92
38 408.000000 451.000000 0.917283 92
39 372.000000 418.000000 0.950845 92
40 343.000000 423.000000 0.969432 92
41 331.000000 447.000000 0.929316 92
42 276.000000 468.000000 0.952511 92
43 283.000000 418.000000 0.949016 92
44 288.000000 436.000000 0.923319 92
45 301.000000 456.000000 0.958017 92
46 375.000000 481.000000 0.961913 92
47 380.000000 501.000000 0.960049 92
48 350.000000 506.000000 0.957375 92
49 370.000000 472.000000 0.936238 92
50 429.000000 449.000000 0.927172 92
51 386.000000 402.000000 0.631308 92
52 397.000000 397.000000 0.638751 92
53 425.000000 360.000000 0.665964 92
54 388.000000 369.000000 0.642145 92
55 395.000000 368.000000 0.645258 92
56 386.000000 385.000000 0.630621 92
57 378.000000 363.000000 0.651191 92
58 407.000000 383.000000 0.674105 92
59 442.000000 400.000000 0.627667 92
60 429.000000 460.000000 0.652986 92
61 450.000000 417.000000 0.659812 92
62 454.000000 465.000000 0.652892 92
63 435.000000 464.000000 0.605889 92
64 462.000000 486.000000 0.636749 92
65 473.000000 454.000000 0.643791 92
66 483.000000 479.000000 0.618373 92
67 482.000000 512.000000 0.620035 92
68 506.000000 487.000000 0.616661 92
69 472.000000 418.000000 0.645646 92
70 480.000000 477.000000 0.629982 92
71 505.000000 465.000000 0.655249 92
72 466.000000 489.000000 0.609569 92
73 440.000000 477.000000 0.639294 92
74 473.000000 487.000000 0.615862 92
75 471.000000 514.000000 0.634107 92
76 472.000000 504.000000 0.640977 92
77 490.000000 508.000000 0.626993 92
78 506.000000 496.000000 0.614293 92
79 550.000000 511.000000 0.625250 92
80 540.000000 500.000000 0.626505 92
81 530.000000 541.000000 0.627790 92
82 525.000000 511.000000 0.619654 92
83 486.000000 503.000000 0.632931 92
84 487.000000 499.000000 0.639857 92
85 499.000000 529.000000 0.622532 92
86 520.000000 515.000000 0.656702 92
87 473.000000 501.000000 0.621302 92
88 479.000000 507.000000 0.618097 92
89 466.000000 479.000000 0.641472 92
90 480.000000 511.000000 0.634098 92
91 511.000000 526.000000 0.625090 92
92 544.000000 496.000000 0.623993 92
93 488.000000 494.000000 0.610664 92
94 517.000000 494.000000 0.619542 92
95 584.000000 498.000000 0.641379 92
96 480.000000 527.000000 0.619205 92
97 469.000000 484.000000 0.637693 92
98 495.000000 494.000000 0.620212 92
99 526.000000 459.000000 0.652140 92
100 498.000000 532.000000 0.607249 92
