# pucks logger
# generation, total redpucks, total greenpucks.
0 70.000000 79.000000 0.565556 100
1 93.000000 101.000000 0.746528 96
2 158.000000 144.000000 0.832763 96
3 143.000000 165.000000 0.847222 96
4 216.000000 159.000000 0.820478 96
5 242.000000 226.000000 0.868713 96
6 243.000000 263.000000 0.923412 96
7 296.000000 284.000000 0.947423 95
8 277.000000 352.000000 0.910714 95
9 284.000000 335.000000 0.945831 95
10 283.000000 374.000000 0.910452 95
11 311.000000 364.000000 0.926061 95
12 323.000000 363.000000 0.895056 95
13 314.000000 406.000000 0.943274 95
14 376.000000 407.000000 0.968773 95
15 323.000000 415.000000 0.936594 95
16 357.000000 374.000000 0.947461 95
17 381.000000 360.000000 0.944368 95
18 319.000000 472.000000 0.957176 95
19 256.000000 478.000000 0.933499 95
20 332.000000 524.000000 0.917780 94
21 382.000000 507.000000 0.953076 94
22 396.000000 471.000000 0.951194 94
23 354.000000 475.000000 0.930916 94
24 336.000000 409.000000 0.965343 94
25 390.000000 417.000000 0.938153 94
26 435.000000 433.000000 0.930794 94
27 424.000000 447.000000 0.947368 94
28 350.000000 511.000000 0.923035 94
29 407.000000 428.000000 0.933994 94
30 356.000000 445.000000 0.945434 94
31 382.000000 495.000000 0.945856 94
32 382.000000 503.000000 0.959986 94
33 421.000000 510.000000 0.954710 94
34 439.000000 466.000000 0.964895 94
35 416.000000 453.000000 0.952175 94
36 493.000000 451.000000 0.949138 94
37 501.000000 414.000000 0.956636 94
38 522.000000 492.000000 0.957326 94
39 499.000000 492.000000 0.960961 94
40 474.000000 458.000000 0.954983 94
41 519.000000 467.000000 0.956117 94
42 440.000000 500.000000 0.953774 94
43 393.000000 513.000000 0.948297 94
44 421.000000 604.000000 0.954985 94
45 411.000000 595.000000 0.962679 94
46 378.000000 559.000000 0.946010 94
47 359.000000 527.000000 0.959952 93
48 336.000000 528.000000 0.928124 93
49 406.000000 523.000000 0.954893 93
50 372.000000 541.000000 0.972166 93
51 481.000000 523.000000 0.643964 93
52 471.000000 445.000000 0.661429 93
53 498.000000 416.000000 0.641359 93
54 415.000000 420.000000 0.639524 92
55 413.000000 418.000000 0.629329 92
56 454.000000 462.000000 0.621278 92
57 405.000000 460.000000 0.627449 92
58 453.000000 451.000000 0.645718 92
59 457.000000 438.000000 0.611020 92
60 392.000000 410.000000 0.638976 92
61 408.000000 430.000000 0.627540 92
62 367.000000 430.000000 0.604739 92
63 445.000000 437.000000 0.607686 92
64 443.000000 427.000000 0.632233 92
65 419.000000 428.000000 0.639667 92
66 452.000000 409.000000 0.657169 92
67 381.000000 409.000000 0.666275 92
68 415.000000 406.000000 0.650775 92
69 416.000000 369.000000 0.651453 92
70 392.000000 429.000000 0.643262 92
71 394.000000 399.000000 0.644037 92
72 416.000000 392.000000 0.636295 92
73 423.000000 460.000000 0.629129 92
74 460.000000 429.000000 0.640675 92
75 398.000000 382.000000 0.662101 92
76 400.000000 372.000000 0.668450 92
77 489.000000 416.000000 0.628738 92
78 413.000000 496.000000 0.660800 92
79 522.000000 464.000000 0.620499 92
80 493.000000 464.000000 0.619571 92
81 501.000000 490.000000 0.633936 92
82 511.000000 450.000000 0.639033 92
83 509.000000 443.000000 0.640676 92
84 496.000000 494.000000 0.620366 92
85 457.000000 467.000000 0.632274 92
86 450.000000 399.000000 0.646732 92
87 427.000000 388.000000 0.655872 92
88 454.000000 396.000000 0.672279 92
89 480.000000 446.000000 0.642836 92
90 489.000000 443.000000 0.658794 92
91 506.000000 428.000000 0.638334 92
92 462.000000 480.000000 0.620063 92
93 481.000000 446.000000 0.660691 92
94 441.000000 476.000000 0.662629 92
95 424.000000 417.000000 0.644836 92
96 393.000000 419.000000 0.614937 92
97 416.000000 384.000000 0.648501 92
98 449.000000 424.000000 0.629802 92
99 458.000000 422.000000 0.642750 92
100 458.000000 422.000000 0.642750 92
