# pucks logger
# generation, total redpucks, total greenpucks.
0 57.000000 52.000000 0.504667 100
1 87.000000 66.000000 0.578947 95
2 88.000000 66.000000 0.692222 90
3 111.000000 73.000000 0.565155 89
4 201.000000 82.000000 0.801341 87
5 233.000000 95.000000 0.828675 87
6 223.000000 111.000000 0.772172 87
7 263.000000 255.000000 0.931923 87
8 220.000000 279.000000 0.928876 87
9 191.000000 233.000000 0.916346 87
10 247.000000 231.000000 0.857286 87
11 204.000000 328.000000 0.954979 87
12 189.000000 331.000000 0.933957 87
13 217.000000 258.000000 0.879003 87
14 236.000000 229.000000 0.922925 87
15 191.000000 278.000000 0.875479 87
16 174.000000 284.000000 0.900040 87
17 229.000000 278.000000 0.927395 87
18 190.000000 332.000000 0.895662 87
19 242.000000 239.000000 0.897325 87
20 301.000000 249.000000 0.911847 87
21 257.000000 286.000000 0.963876 87
22 290.000000 257.000000 0.934634 87
23 296.000000 285.000000 0.963395 87
24 279.000000 268.000000 0.955975 87
25 260.000000 232.000000 0.916216 87
26 325.000000 199.000000 0.946177 87
27 392.000000 172.000000 0.938802 87
28 349.000000 198.000000 0.917387 87
29 454.000000 173.000000 0.931919 87
30 450.000000 154.000000 0.900534 87
31 456.000000 182.000000 0.939902 85
32 377.000000 198.000000 0.930812 85
33 469.000000 207.000000 0.937737 84
34 484.000000 186.000000 0.940080 84
35 446.000000 170.000000 0.893351 84
36 411.000000 165.000000 0.929878 83
37 352.000000 104.000000 0.903096 81
38 355.000000 132.000000 0.939949 81
39 371.000000 279.000000 0.967293 81
40 406.000000 321.000000 0.951581 81
41 356.000000 279.000000 0.954946 81
42 374.000000 272.000000 0.927684 81
43 423.000000 242.000000 0.929792 81
44 327.000000 235.000000 0.923033 81
45 331.000000 226.000000 0.899848 81
46 349.000000 239.000000 0.949971 81
47 335.000000 252.000000 0.913413 81
48 358.000000 257.000000 0.910254 81
49 343.000000 285.000000 0.952206 81
50 262.000000 311.000000 0.902611 80
51 286.000000 280.000000 0.665712 80
52 302.000000 323.000000 0.658165 80
53 296.000000 301.000000 0.660788 80
54 334.000000 339.000000 0.636696 80
55 323.000000 292.000000 0.662609 80
56 321.000000 327.000000 0.623623 79
57 265.000000 286.000000 0.658838 78
58 327.000000 306.000000 0.652270 78
59 336.000000 334.000000 0.641653 78
60 292.000000 249.000000 0.624325 78
61 291.000000 317.000000 0.652642 78
62 309.000000 335.000000 0.638528 78
63 285.000000 305.000000 0.654399 77
64 309.000000 301.000000 0.637332 77
65 323.000000 293.000000 0.657778 77
66 342.000000 320.000000 0.622023 77
67 333.000000 333.000000 0.640141 77
68 313.000000 314.000000 0.641855 77
69 303.000000 306.000000 0.643134 77
70 313.000000 294.000000 0.636398 77
71 353.000000 313.000000 0.645670 77
72 323.000000 320.000000 0.658929 77
73 333.000000 320.000000 0.645846 77
74 319.000000 326.000000 0.654121 77
75 313.000000 285.000000 0.652377 77
76 343.000000 339.000000 0.658851 77
77 355.000000 355.000000 0.636688 77
78 380.000000 349.000000 0.652525 77
79 334.000000 313.000000 0.656787 77
80 346.000000 385.000000 0.646747 77
81 310.000000 344.000000 0.667143 77
82 343.000000 354.000000 0.635376 77
83 326.000000 351.000000 0.634901 77
84 351.000000 337.000000 0.630182 77
85 377.000000 317.000000 0.665972 77
86 349.000000 305.000000 0.660862 77
87 335.000000 322.000000 0.660902 77
88 326.000000 304.000000 0.640499 76
89 326.000000 347.000000 0.648366 76
90 340.000000 310.000000 0.643667 76
91 330.000000 349.000000 0.638743 76
92 291.000000 298.000000 0.672427 76
93 355.000000 321.000000 0.648010 76
94 311.000000 327.000000 0.630204 76
95 353.000000 326.000000 0.631850 76
96 336.000000 324.000000 0.661149 76
97 343.000000 300.000000 0.625351 76
98 364.000000 323.000000 0.657033 76
99 337.000000 275.000000 0.641561 76
100 337.000000 275.000000 0.641561 76
