# pucks logger
# generation, total redpucks, total greenpucks.
0 66.000000 59.000000 0.550000 100
1 84.000000 77.000000 0.550152 94
2 81.000000 95.000000 0.650414 92
3 64.000000 138.000000 0.703297 91
4 63.000000 149.000000 0.704630 90
5 97.000000 151.000000 0.689177 88
6 157.000000 140.000000 0.787617 88
7 179.000000 125.000000 0.874080 88
8 176.000000 162.000000 0.849789 87
9 224.000000 189.000000 0.931708 87
10 259.000000 217.000000 0.911337 87
11 252.000000 221.000000 0.938752 87
12 283.000000 228.000000 0.972692 87
13 246.000000 300.000000 0.932389 87
14 289.000000 254.000000 0.938189 87
15 283.000000 276.000000 0.943237 87
16 264.000000 353.000000 0.967886 87
17 186.000000 336.000000 0.928521 87
18 225.000000 404.000000 0.968990 87
19 274.000000 318.000000 0.957175 87
20 274.000000 396.000000 0.955851 87
21 233.000000 352.000000 0.958792 87
22 326.000000 313.000000 0.951630 87
23 360.000000 323.000000 0.934741 87
24 332.000000 340.000000 0.951229 87
25 309.000000 388.000000 0.942853 87
26 324.000000 336.000000 0.924561 87
27 380.000000 375.000000 0.948084 87
28 336.000000 338.000000 0.953549 87
29 343.000000 287.000000 0.942268 87
30 317.000000 283.000000 0.869909 87
31 321.000000 287.000000 0.915032 87
32 356.000000 309.000000 0.947421 87
33 335.000000 313.000000 0.931728 87
34 344.000000 325.000000 0.916704 87
35 436.000000 324.000000 0.964283 86
36 402.000000 306.000000 0.932021 86
37 415.000000 271.000000 0.932684 86
38 451.000000 276.000000 0.955425 86
39 409.000000 315.000000 0.946002 86
40 409.000000 367.000000 0.960676 86
41 395.000000 370.000000 0.948527 86
42 324.000000 392.000000 0.936324 86
43 349.000000 327.000000 0.942049 85
44 388.000000 277.000000 0.967536 85
45 382.000000 350.000000 0.966663 85
46 351.000000 288.000000 0.923387 85
47 295.000000 285.000000 0.872691 85
48 332.000000 329.000000 0.827073 85
49 306.000000 347.000000 0.881295 85
50 412.000000 336.000000 0.969637 85
51 350.000000 344.000000 0.656817 85
52 385.000000 423.000000 0.615875 85
53 374.000000 354.000000 0.640812 85
54 384.000000 335.000000 0.660458 85
55 338.000000 340.000000 0.658579 85
56 377.000000 368.000000 0.650800 85
57 374.000000 353.000000 0.651476 85
58 406.000000 345.000000 0.620642 85
59 361.000000 339.000000 0.656601 85
60 380.000000 339.000000 0.653849 85
61 374.000000 367.000000 0.628230 85
62 408.000000 377.000000 0.638226 85
63 379.000000 384.000000 0.652174 85
64 384.000000 347.000000 0.649868 85
65 442.000000 348.000000 0.633260 85
66 380.000000 377.000000 0.648158 85
67 440.000000 385.000000 0.640082 85
68 355.000000 405.000000 0.643648 85
69 351.000000 364.000000 0.654693 85
70 361.000000 367.000000 0.644504 85
71 350.000000 372.000000 0.636682 84
72 320.000000 343.000000 0.633795 84
73 385.000000 333.000000 0.658226 84
74 347.000000 399.000000 0.655967 84
75 413.000000 387.000000 0.666813 84
76 393.000000 384.000000 0.648503 84
77 418.000000 369.000000 0.644822 84
78 450.000000 380.000000 0.650309 84
79 391.000000 376.000000 0.636705 84
80 370.000000 374.000000 0.635982 84
81 392.000000 386.000000 0.605713 84
82 378.000000 368.000000 0.642435 84
83 384.000000 407.000000 0.628110 84
84 430.000000 472.000000 0.609454 83
85 452.000000 423.000000 0.630446 83
86 412.000000 368.000000 0.642908 83
87 397.000000 380.000000 0.642289 83
88 402.000000 362.000000 0.635904 83
89 379.000000 427.000000 0.621890 83
90 431.000000 405.000000 0.635638 83
91 358.000000 380.000000 0.661396 83
92 392.000000 395.000000 0.617734 83
93 380.000000 384.000000 0.658211 83
94 422.000000 368.000000 0.616235 83
95 400.000000 379.000000 0.647068 83
96 386.000000 370.000000 0.622867 83
97 406.000000 399.000000 0.643269 83
98 407.000000 364.000000 0.641994 83
99 404.000000 406.000000 0.622160 83
100 405.000000 433.000000 0.640166 83
