# pucks logger
# generation, total redpucks, total greenpucks.
0 78.000000 63.000000 0.590476 100
1 122.000000 55.000000 0.654545 99
2 135.000000 86.000000 0.570962 97
3 181.000000 148.000000 0.796205 96
4 208.000000 188.000000 0.853657 96
5 242.000000 234.000000 0.882292 96
6 153.000000 290.000000 0.892134 96
7 210.000000 294.000000 0.913517 96
8 265.000000 270.000000 0.912660 96
9 275.000000 191.000000 0.866690 96
10 241.000000 221.000000 0.845173 96
11 213.000000 297.000000 0.873014 96
12 235.000000 329.000000 0.917335 95
13 251.000000 276.000000 0.936374 95
14 315.000000 249.000000 0.911739 95
15 310.000000 257.000000 0.908958 95
16 263.000000 215.000000 0.860878 95
17 333.000000 248.000000 0.902186 95
18 342.000000 286.000000 0.883689 95
19 318.000000 287.000000 0.887899 95
20 364.000000 285.000000 0.927456 95
21 335.000000 231.000000 0.888867 95
22 435.000000 256.000000 0.921803 95
23 500.000000 297.000000 0.936872 95
24 493.000000 254.000000 0.919211 95
25 331.000000 296.000000 0.925140 93
26 396.000000 277.000000 0.955977 93
27 381.000000 324.000000 0.941385 93
28 383.000000 307.000000 0.930057 93
29 380.000000 301.000000 0.919653 93
30 393.000000 327.000000 0.951327 93
31 329.000000 332.000000 0.943783 93
32 317.000000 381.000000 0.953747 93
33 287.000000 409.000000 0.909689 93
34 281.000000 431.000000 0.917919 93
35 377.000000 325.000000 0.902008 93
36 472.000000 336.000000 0.949017 93
37 441.000000 297.000000 0.918523 93
38 454.000000 294.000000 0.940469 93
39 398.000000 383.000000 0.935896 93
40 432.000000 335.000000 0.907000 93
41 446.000000 328.000000 0.951738 93
42 411.000000 323.000000 0.956129 93
43 412.000000 321.000000 0.930226 93
44 424.000000 417.000000 0.936067 93
45 369.000000 459.000000 0.908208 93
46 364.000000 417.000000 0.917300 93
47 444.000000 392.000000 0.938521 93
48 424.000000 395.000000 0.929926 93
49 502.000000 413.000000 0.947891 93
50 527.000000 395.000000 0.960722 93
51 431.000000 432.000000 0.643536 93
52 421.000000 405.000000 0.645586 93
53 455.000000 444.000000 0.615522 93
54 415.000000 411.000000 0.632981 93
55 463.000000 429.000000 0.614313 93
56 446.000000 458.000000 0.620395 93
57 470.000000 465.000000 0.633339 93
58 433.000000 475.000000 0.633022 93
59 429.000000 437.000000 0.625349 92
60 429.000000 445.000000 0.625991 92
61 465.000000 473.000000 0.629656 92
62 480.000000 452.000000 0.618421 92
63 458.000000 499.000000 0.621089 92
64 541.000000 479.000000 0.648204 92
65 485.000000 462.000000 0.623706 92
66 479.000000 485.000000 0.621342 92
67 472.000000 481.000000 0.621189 92
68 484.000000 448.000000 0.632385 92
69 434.000000 459.000000 0.609097 92
70 435.000000 447.000000 0.639439 92
71 473.000000 476.000000 0.615043 92
72 467.000000 417.000000 0.652074 92
73 464.000000 487.000000 0.644272 92
74 436.000000 469.000000 0.640428 92
75 475.000000 426.000000 0.629275 92
76 406.000000 494.000000 0.647688 92
77 430.000000 422.000000 0.622749 92
78 459.000000 425.000000 0.645525 92
79 436.000000 447.000000 0.644046 92
80 411.000000 435.000000 0.640065 92
81 403.000000 420.000000 0.650129 92
82 504.000000 429.000000 0.630254 92
83 449.000000 405.000000 0.648919 92
84 449.000000 523.000000 0.635704 92
85 504.000000 476.000000 0.625300 92
86 546.000000 538.000000 0.619180 92
87 517.000000 512.000000 0.613205 92
88 458.000000 482.000000 0.632572 92
89 541.000000 525.000000 0.624940 92
90 526.000000 485.000000 0.601725 92
91 517.000000 471.000000 0.617368 92
92 530.000000 500.000000 0.620291 92
93 523.000000 485.000000 0.616595 92
94 520.000000 514.000000 0.623851 92
95 484.000000 508.000000 0.621371 92
96 512.000000 565.000000 0.632774 92
97 553.000000 515.000000 0.617596 92
98 523.000000 504.000000 0.622255 92
99 495.000000 495.000000 0.641655 92
100 536.000000 520.000000 0.600046 92
