# pucks logger
# generation, total redpucks, total greenpucks.
0 56.000000 57.000000 0.578000 100
1 86.000000 51.000000 0.569022 92
2 97.000000 93.000000 0.627930 91
3 124.000000 101.000000 0.699915 90
4 161.000000 147.000000 0.762765 90
5 172.000000 154.000000 0.802933 87
6 191.000000 173.000000 0.853106 87
7 262.000000 129.000000 0.851883 86
8 289.000000 153.000000 0.899193 86
9 254.000000 188.000000 0.888236 86
10 305.000000 224.000000 0.848583 86
11 397.000000 193.000000 0.879053 86
12 339.000000 256.000000 0.896460 86
13 352.000000 259.000000 0.929742 86
14 364.000000 288.000000 0.925194 86
15 413.000000 362.000000 0.939597 86
16 418.000000 415.000000 0.944126 86
17 423.000000 440.000000 0.957411 86
18 430.000000 445.000000 0.960972 86
19 380.000000 493.000000 0.935999 86
20 349.000000 476.000000 0.967119 86
21 387.000000 511.000000 0.934006 86
22 445.000000 408.000000 0.948745 86
23 529.000000 449.000000 0.961874 86
24 486.000000 429.000000 0.963020 86
25 567.000000 355.000000 0.959306 86
26 594.000000 348.000000 0.964982 86
27 642.000000 343.000000 0.964981 86
28 566.000000 413.000000 0.958876 86
29 626.000000 309.000000 0.964461 86
30 669.000000 320.000000 0.974548 86
31 637.000000 279.000000 0.942070 86
32 674.000000 277.000000 0.961688 86
33 634.000000 318.000000 0.950501 86
34 643.000000 332.000000 0.965316 86
35 622.000000 365.000000 0.968242 86
36 589.000000 408.000000 0.942742 86
37 585.000000 393.000000 0.961211 86
38 545.000000 484.000000 0.946188 86
39 567.000000 415.000000 0.959878 86
40 507.000000 500.000000 0.951172 86
41 509.000000 434.000000 0.954021 86
42 483.000000 503.000000 0.943543 86
43 494.000000 530.000000 0.959098 86
44 516.000000 513.000000 0.952708 86
45 479.000000 526.000000 0.939322 86
46 534.000000 521.000000 0.951230 86
47 501.000000 516.000000 0.942593 86
48 553.000000 505.000000 0.961694 86
49 484.000000 540.000000 0.947448 86
50 428.000000 594.000000 0.941204 86
51 480.000000 533.000000 0.655568 86
52 483.000000 534.000000 0.624974 86
53 565.000000 510.000000 0.613454 86
54 546.000000 564.000000 0.622423 86
55 581.000000 529.000000 0.613061 86
56 559.000000 542.000000 0.611968 86
57 596.000000 534.000000 0.616145 86
58 548.000000 529.000000 0.614126 86
59 579.000000 536.000000 0.622317 86
60 584.000000 563.000000 0.599028 86
61 614.000000 580.000000 0.603931 86
62 610.000000 591.000000 0.609303 86
63 566.000000 580.000000 0.627847 86
64 582.000000 562.000000 0.605731 86
65 566.000000 561.000000 0.609309 86
66 566.000000 555.000000 0.624096 86
67 562.000000 569.000000 0.620567 86
68 560.000000 603.000000 0.602319 86
69 585.000000 531.000000 0.621493 86
70 562.000000 532.000000 0.629476 86
71 589.000000 545.000000 0.613815 86
72 596.000000 546.000000 0.604477 86
73 614.000000 549.000000 0.610957 86
74 620.000000 535.000000 0.614064 86
75 585.000000 518.000000 0.609213 86
76 593.000000 500.000000 0.608928 86
77 589.000000 515.000000 0.614667 86
78 571.000000 520.000000 0.628833 86
79 563.000000 598.000000 0.610399 86
80 575.000000 533.000000 0.623538 86
81 633.000000 506.000000 0.617233 86
82 602.000000 554.000000 0.601957 86
83 556.000000 541.000000 0.607733 86
84 544.000000 481.000000 0.632681 86
85 542.000000 530.000000 0.614464 86
86 545.000000 592.000000 0.598287 86
87 578.000000 609.000000 0.611287 86
88 597.000000 565.000000 0.617473 86
89 548.000000 524.000000 0.615114 86
90 556.000000 548.000000 0.618934 86
91 597.000000 556.000000 0.617969 86
92 547.000000 582.000000 0.611696 86
93 559.000000 568.000000 0.622579 86
94 576.000000 571.000000 0.628872 86
95 575.000000 578.000000 0.614230 86
96 535.000000 550.000000 0.618209 86
97 562.000000 540.000000 0.605583 86
98 560.000000 465.000000 0.620429 86
99 554.000000 552.000000 0.609497 86
100 609.000000 508.000000 0.622312 86
