# pucks logger
# generation, total redpucks, total greenpucks.
0 68.000000 38.000000 0.457778 100
1 128.000000 115.000000 0.709662 92
2 203.000000 152.000000 0.844636 91
3 215.000000 226.000000 0.906166 91
4 234.000000 213.000000 0.871658 90
5 186.000000 215.000000 0.857710 90
6 195.000000 242.000000 0.895335 90
7 148.000000 258.000000 0.838224 89
8 167.000000 189.000000 0.765443 87
9 246.000000 183.000000 0.859759 87
10 306.000000 169.000000 0.882338 86
11 287.000000 226.000000 0.912165 86
12 265.000000 216.000000 0.870949 86
13 275.000000 235.000000 0.902150 85
14 297.000000 262.000000 0.899983 85
15 363.000000 312.000000 0.963702 85
16 378.000000 286.000000 0.922392 85
17 365.000000 264.000000 0.939629 85
18 393.000000 214.000000 0.951839 85
19 417.000000 199.000000 0.950731 85
20 461.000000 223.000000 0.929499 85
21 464.000000 204.000000 0.954663 83
22 430.000000 301.000000 0.955750 82
23 389.000000 293.000000 0.958865 82
24 369.000000 269.000000 0.958773 82
25 378.000000 357.000000 0.951898 82
26 389.000000 343.000000 0.968372 82
27 332.000000 282.000000 0.959154 82
28 359.000000 377.000000 0.951263 82
29 300.000000 374.000000 0.924863 82
30 373.000000 371.000000 0.953162 82
31 354.000000 374.000000 0.952077 82
32 321.000000 370.000000 0.963380 82
33 373.000000 293.000000 0.969092 82
34 313.000000 327.000000 0.975837 82
35 313.000000 395.000000 0.942585 82
36 324.000000 418.000000 0.939162 82
37 352.000000 381.000000 0.914680 82
38 395.000000 305.000000 0.941007 82
39 338.000000 359.000000 0.938565 82
40 341.000000 403.000000 0.968353 82
41 295.000000 413.000000 0.959948 82
42 335.000000 414.000000 0.952971 82
43 396.000000 334.000000 0.911962 82
44 429.000000 335.000000 0.951529 82
45 449.000000 390.000000 0.942571 81
46 441.000000 404.000000 0.929959 81
47 392.000000 411.000000 0.931538 81
48 378.000000 454.000000 0.980848 81
49 367.000000 469.000000 0.962455 81
50 360.000000 485.000000 0.939070 81
51 400.000000 363.000000 0.646583 81
52 421.000000 388.000000 0.651892 81
53 416.000000 368.000000 0.627918 81
54 338.000000 352.000000 0.673334 81
55 352.000000 341.000000 0.646603 81
56 354.000000 315.000000 0.662206 81
57 391.000000 343.000000 0.630035 81
58 411.000000 383.000000 0.643051 81
59 365.000000 389.000000 0.628083 80
60 386.000000 341.000000 0.644682 80
61 323.000000 254.000000 0.653788 80
62 347.000000 327.000000 0.623306 80
63 301.000000 329.000000 0.653604 80
64 267.000000 251.000000 0.633227 80
65 327.000000 279.000000 0.633711 79
66 320.000000 317.000000 0.592796 79
67 336.000000 268.000000 0.651809 79
68 341.000000 365.000000 0.644755 79
69 377.000000 396.000000 0.644412 79
70 384.000000 379.000000 0.636813 79
71 365.000000 340.000000 0.666154 79
72 339.000000 336.000000 0.662730 79
73 344.000000 353.000000 0.642313 79
74 336.000000 296.000000 0.641245 79
75 296.000000 262.000000 0.671542 79
76 294.000000 324.000000 0.661561 79
77 351.000000 331.000000 0.631146 79
78 303.000000 347.000000 0.639056 79
79 324.000000 312.000000 0.591017 79
80 339.000000 296.000000 0.610835 79
81 315.000000 333.000000 0.601581 79
82 341.000000 319.000000 0.651224 79
83 294.000000 308.000000 0.660036 79
84 269.000000 236.000000 0.688661 78
85 265.000000 257.000000 0.645851 78
86 244.000000 253.000000 0.663643 78
87 326.000000 305.000000 0.640507 78
88 288.000000 266.000000 0.667368 78
89 268.000000 268.000000 0.672740 78
90 324.000000 333.000000 0.612445 78
91 320.000000 334.000000 0.627715 78
92 298.000000 291.000000 0.620921 78
93 350.000000 359.000000 0.613665 78
94 387.000000 309.000000 0.662493 78
95 326.000000 336.000000 0.632181 78
96 391.000000 333.000000 0.631165 78
97 309.000000 320.000000 0.644069 78
98 283.000000 310.000000 0.666439 78
99 288.000000 328.000000 0.674742 78
100 360.000000 338.000000 0.644277 78
