# pucks logger
# generation, total redpucks, total greenpucks.
0 46.000000 67.000000 0.543000 100
1 68.000000 141.000000 0.716250 100
2 104.000000 166.000000 0.842354 97
3 149.000000 150.000000 0.780439 95
4 245.000000 218.000000 0.930111 95
5 287.000000 312.000000 0.922789 95
6 292.000000 377.000000 0.945182 95
7 321.000000 386.000000 0.943700 95
8 327.000000 296.000000 0.956913 95
9 357.000000 365.000000 0.950164 94
10 358.000000 331.000000 0.960646 94
11 310.000000 337.000000 0.978799 94
12 307.000000 345.000000 0.927824 94
13 268.000000 347.000000 0.948005 94
14 312.000000 325.000000 0.930051 94
15 276.000000 359.000000 0.936272 94
16 281.000000 332.000000 0.923826 94
17 277.000000 382.000000 0.951139 92
18 304.000000 387.000000 0.961829 92
19 277.000000 376.000000 0.938972 91
20 270.000000 448.000000 0.963895 91
21 328.000000 456.000000 0.961214 91
22 265.000000 438.000000 0.964211 91
23 273.000000 455.000000 0.981641 91
24 233.000000 557.000000 0.961809 91
25 301.000000 527.000000 0.953860 91
26 295.000000 569.000000 0.958034 91
27 338.000000 552.000000 0.940145 91
28 344.000000 532.000000 0.965007 91
29 453.000000 422.000000 0.939136 91
30 509.000000 364.000000 0.967771 91
31 458.000000 465.000000 0.965334 91
32 481.000000 432.000000 0.954031 91
33 430.000000 372.000000 0.951704 91
34 453.000000 351.000000 0.942199 91
35 507.000000 393.000000 0.958086 91
36 493.000000 430.000000 0.946432 91
37 435.000000 451.000000 0.951307 91
38 422.000000 435.000000 0.951913 91
39 412.000000 472.000000 0.943689 91
40 443.000000 437.000000 0.945747 91
41 370.000000 464.000000 0.962230 91
42 415.000000 507.000000 0.962739 91
43 496.000000 544.000000 0.968777 91
44 476.000000 535.000000 0.950323 91
45 490.000000 497.000000 0.957582 91
46 470.000000 571.000000 0.944829 91
47 369.000000 535.000000 0.961146 91
48 478.000000 379.000000 0.961442 91
49 488.000000 363.000000 0.959638 91
50 509.000000 395.000000 0.955288 91
51 501.000000 497.000000 0.615903 91
52 466.000000 494.000000 0.629104 91
53 438.000000 428.000000 0.637535 91
54 452.000000 481.000000 0.617332 91
55 430.000000 429.000000 0.619196 91
56 463.000000 472.000000 0.640300 91
57 451.000000 411.000000 0.646644 91
58 442.000000 446.000000 0.646825 91
59 478.000000 458.000000 0.628179 91
60 474.000000 539.000000 0.604425 91
61 498.000000 474.000000 0.623771 91
62 452.000000 455.000000 0.636455 91
63 421.000000 439.000000 0.624308 91
64 473.000000 481.000000 0.632727 91
65 528.000000 478.000000 0.610395 91
66 502.000000 420.000000 0.662825 91
67 475.000000 499.000000 0.631614 91
68 468.000000 460.000000 0.631049 91
69 422.000000 446.000000 0.600923 91
70 484.000000 441.000000 0.600212 91
71 465.000000 466.000000 0.633964 91
72 456.000000 461.000000 0.609458 91
73 414.000000 453.000000 0.636343 91
74 467.000000 452.000000 0.641801 91
75 498.000000 449.000000 0.631296 91
76 475.000000 464.000000 0.617324 91
77 468.000000 473.000000 0.660291 91
78 488.000000 439.000000 0.645001 91
79 507.000000 466.000000 0.624515 91
80 445.000000 496.000000 0.619232 91
81 475.000000 462.000000 0.631142 91
82 477.000000 518.000000 0.641155 91
83 463.000000 435.000000 0.630787 91
84 480.000000 445.000000 0.625965 91
85 529.000000 479.000000 0.628930 91
86 497.000000 506.000000 0.613112 90
87 501.000000 482.000000 0.621126 89
88 468.000000 439.000000 0.630785 89
89 598.000000 466.000000 0.617993 89
90 544.000000 498.000000 0.625647 89
91 514.000000 467.000000 0.599793 89
92 495.000000 485.000000 0.617108 89
93 454.000000 477.000000 0.641900 89
94 485.000000 507.000000 0.632952 89
95 461.000000 476.000000 0.639065 89
96 459.000000 481.000000 0.627191 89
97 461.000000 448.000000 0.614610 88
98 452.000000 418.000000 0.628875 88
99 468.000000 441.000000 0.613339 88
100 460.000000 474.000000 0.612946 88
