# pucks logger
# generation, total redpucks, total greenpucks.
0 53.000000 51.000000 0.491310 100
1 101.000000 105.000000 0.697364 98
2 121.000000 175.000000 0.839589 98
3 153.000000 193.000000 0.817626 98
4 161.000000 182.000000 0.800389 98
5 168.000000 196.000000 0.801193 98
6 228.000000 230.000000 0.917076 98
7 207.000000 209.000000 0.930146 98
8 246.000000 257.000000 0.906967 98
9 260.000000 294.000000 0.948943 98
10 225.000000 328.000000 0.907605 98
11 255.000000 327.000000 0.924489 98
12 277.000000 304.000000 0.924728 98
13 240.000000 387.000000 0.930008 98
14 272.000000 369.000000 0.925916 98
15 300.000000 397.000000 0.943282 98
16 229.000000 429.000000 0.902566 98
17 256.000000 369.000000 0.917718 98
18 284.000000 407.000000 0.924161 97
19 337.000000 348.000000 0.952022 97
20 337.000000 308.000000 0.945525 97
21 365.000000 370.000000 0.922761 97
22 336.000000 392.000000 0.908335 97
23 407.000000 328.000000 0.951836 97
24 341.000000 341.000000 0.890671 97
25 412.000000 285.000000 0.927770 97
26 432.000000 344.000000 0.944438 97
27 437.000000 341.000000 0.949717 97
28 447.000000 339.000000 0.934688 96
29 440.000000 332.000000 0.934125 96
30 374.000000 395.000000 0.929857 96
31 421.000000 384.000000 0.942653 96
32 406.000000 452.000000 0.945765 96
33 408.000000 383.000000 0.945007 96
34 398.000000 377.000000 0.940327 96
35 394.000000 355.000000 0.939671 96
36 386.000000 425.000000 0.954593 95
37 392.000000 441.000000 0.945042 95
38 352.000000 453.000000 0.940883 95
39 321.000000 429.000000 0.924546 95
40 328.000000 489.000000 0.965452 95
41 314.000000 476.000000 0.934712 95
42 301.000000 398.000000 0.929469 94
43 264.000000 418.000000 0.933363 94
44 312.000000 424.000000 0.944659 94
45 371.000000 403.000000 0.951708 94
46 402.000000 365.000000 0.932424 94
47 408.000000 432.000000 0.927633 94
48 426.000000 463.000000 0.952596 94
49 450.000000 387.000000 0.950984 94
50 465.000000 327.000000 0.960234 94
51 441.000000 393.000000 0.671383 94
52 344.000000 435.000000 0.625821 94
53 383.000000 479.000000 0.641777 94
54 405.000000 382.000000 0.645296 94
55 431.000000 391.000000 0.635492 94
56 444.000000 370.000000 0.640182 94
57 436.000000 403.000000 0.617899 94
58 452.000000 417.000000 0.635277 94
59 393.000000 423.000000 0.647754 94
60 408.000000 424.000000 0.641164 94
61 356.000000 416.000000 0.638092 94
62 431.000000 389.000000 0.622710 94
63 458.000000 441.000000 0.653881 94
64 472.000000 419.000000 0.639373 94
65 461.000000 420.000000 0.615983 94
66 443.000000 408.000000 0.640159 94
67 421.000000 408.000000 0.628829 94
68 381.000000 375.000000 0.662050 94
69 434.000000 387.000000 0.667109 94
70 443.000000 460.000000 0.639883 94
71 429.000000 472.000000 0.657816 94
72 477.000000 411.000000 0.621764 94
73 385.000000 452.000000 0.645260 94
74 390.000000 405.000000 0.649464 94
75 405.000000 412.000000 0.633355 94
76 414.000000 366.000000 0.643156 94
77 385.000000 343.000000 0.644756 94
78 389.000000 368.000000 0.639686 94
79 420.000000 446.000000 0.633929 94
80 504.000000 431.000000 0.610288 94
81 480.000000 454.000000 0.645715 94
82 396.000000 458.000000 0.637504 94
83 419.000000 518.000000 0.634657 94
84 466.000000 445.000000 0.630321 94
85 457.000000 453.000000 0.641752 94
86 433.000000 453.000000 0.657410 94
87 469.000000 468.000000 0.623918 94
88 429.000000 452.000000 0.611634 94
89 387.000000 439.000000 0.637732 94
90 463.000000 490.000000 0.630286 94
91 478.000000 480.000000 0.624251 94
92 453.000000 469.000000 0.631510 94
93 482.000000 485.000000 0.624018 94
94 510.000000 491.000000 0.643036 94
95 570.000000 425.000000 0.650360 94
96 476.000000 513.000000 0.626881 94
97 418.000000 440.000000 0.645465 94
98 469.000000 457.000000 0.645454 94
99 493.000000 470.000000 0.628412 94
100 447.000000 480.000000 0.634158 94
